node,classification,pagerank,x_position,y_position,size
OGN,Crypto,0.001074720790271807,21.0,6.0,11.43573717964948
ZRO,Crypto,0.001045845190959801,22.0,6.0,11.350817682123107
OMNI,Crypto,0.0013354486659159913,0.0,7.0,12.13839454654527
TRU,Crypto,0.0010595584988167886,1.0,7.0,11.391348727377302
JOE,Crypto,0.0009212877139833896,2.0,7.0,10.0
AXL,Crypto,0.0009074822196738604,3.0,7.0,10.0
STMX,Crypto,0.0010750943123660121,4.0,7.0,11.436825137853434
WAXP,Crypto,0.0009273970751304577,5.0,7.0,10.0
NMR,Crypto,0.00077396399884204,6.0,7.0,1.0
BNT,Crypto,0.0009277705972246628,7.0,7.0,10.0
YFII,Crypto,0.0009273970751304577,8.0,7.0,10.0
ENJ,Crypto,0.0016361801335948933,9.0,7.0,12.838148198316679
ORDI,Crypto,0.0011825628167488203,10.0,7.0,11.739441675132268
MANTA,Crypto,0.0011992782672482184,11.0,7.0,11.784758562284225
CFX,Crypto,0.0011963683110583492,12.0,7.0,11.776901370689034
LUNC,Crypto,0.0007633991672724497,13.0,7.0,1.0
HBAR,Crypto,0.001074720790271807,14.0,7.0,11.43573717964948
OAX,Crypto,0.0007703302553396029,15.0,7.0,1.0
UMA,Crypto,0.0009212877139833896,16.0,7.0,10.0
MINA,Crypto,0.001074720790271807,17.0,7.0,11.43573717964948
ARS,EMDE,0.0007703302553396029,18.0,7.0,1.0
BONK,Crypto,0.0010241270429166341,19.0,7.0,11.285859509775294
AVA,Crypto,0.0009273970751304577,20.0,7.0,10.0
